id,nombre,email,fecha_registro,intereses
1,Allison Hill,donaldgarcia@example.net,2024-10-16,fútbol
2,Javier Johnson,jesseguzman@example.net,2021-11-04,baloncesto;viajes;escalada
3,Meredith Barnes,zlawrence@example.org,2021-07-06,guitarra
4,Gina Moore,curtis61@example.com,2023-01-29,tecnología
5,Renee Blair,dudleynicholas@example.net,2022-08-24,programación;fútbol;cine;fotografía
6,Lisa Hensley,janetwilliams@example.org,2022-08-13,astronomía;eSports
7,Dr. Sharon James,xreid@example.org,2023-04-21,idiomas
8,Michael Miles,lynchgeorge@example.net,2022-03-27,baile;diseño gráfico
9,James Mayo,gabriellecameron@example.org,2022-02-06,baloncesto;arte digital;tecnología;videojuegos
10,Renee Morales,clarksherri@example.net,2022-10-30,psicología
11,Jonathan Wilkerson,ithomas@example.org,2024-12-05,baile;ciencia ficción
12,Nicole Patterson,icox@example.net,2024-05-08,videojuegos;viajes;fotografía
13,Anthony Rodriguez,laurahenderson@example.org,2023-06-05,música;cine;automovilismo
14,Zachary Rice,frazierdanny@example.net,2022-06-03,anime
15,Gina Carter,shawnmckay@example.net,2022-05-24,eSports;videojuegos;moda
16,Pamela Romero,harrellkenneth@example.net,2024-06-21,escalada
17,Brittany Farmer,georgetracy@example.org,2023-03-29,idiomas;música;automovilismo;cine
18,Sandra Parker,allenashley@example.org,2020-11-18,diseño gráfico;eSports;anime
19,Rose Spence,davidalvarez@example.net,2021-07-23,baile;cine
20,Shane Henderson,sarahcampos@example.net,2021-11-11,guitarra
21,Jennifer Powers,samuel87@example.org,2022-04-06,psicología;historia
22,George Chapman,briannasmith@example.net,2020-08-26,baloncesto
23,Taylor Heath,palmerjoshua@example.com,2021-12-22,automovilismo
24,Miranda Khan,esanchez@example.com,2021-10-09,arte digital;diseño gráfico;anime
25,Matthew Gomez,uowens@example.org,2020-12-27,anime;fotografía
26,Nicholas Mcbride,wrightjames@example.com,2021-05-06,baile;guitarra;diseño gráfico
27,Donald Wright,ramosmichelle@example.net,2020-12-26,eSports
28,Zachary Huff,housemelinda@example.org,2023-08-11,idiomas;escalada
29,Mr. James Brown,ysmith@example.com,2024-01-09,lectura;arte digital
30,Michael Cross,smoore@example.org,2020-08-25,videojuegos;diseño gráfico;baile;idiomas
31,Kimberly Adkins,williamsthomas@example.net,2021-06-29,guitarra;cocina
32,Jordan York,larsonemma@example.org,2023-08-03,baloncesto
33,Steve Sanchez,harveyrobert@example.net,2024-12-17,moda
34,Taylor Harris,john62@example.net,2022-09-15,automovilismo;videojuegos;cine
35,Timothy Walls,ellisyolanda@example.org,2020-10-10,tecnología;baile
